chr1	186917271	186917772	0.0	0.0	chr1	186917271	186917772	1156.062	1196	3.968	224	1172.14	1234	782.018	852	878.012	928	2068.462	2284	1392.154	1458	1132.008	1254	1430.018	1514	370	472	1248.012	1358	1113.906	1156	1734.32	2062	572	680	2092.5	2772	947.66	1218	899.66	1008	2514.02	3094	1135.68	1380	1461.12	1694
chr1	23291168	23291669	0.0	0.0	chr1	23291168	23291669	341.02	352	2.994	87	332.996	359	295.99	314	263.026	277	515.927	534	281.017	293	446.009	462	542.983	576	158	175	477.975	493	372.986	377	714.75	757	191.19	197	649.45	679	401.42	424	351.94	363	599.2	728	500.75	562	566.07	595
chr1	220001153	220001654	0.0	0.0	chr1	48159309	48159810	168.987	173	1	39	182.98	196	94.007	119	195.005	213	228.964	276	251.002	262	272.003	294	477.952	527	45	95	319.012	345	140.005	148	508.11	658	126.62	143	360.79	549	190.93	261	256.02	301	414.41	484	234.86	397	306.65	352
chr1	183873347	183873848	0.0	0.0	chr1	203898287	203898788	35.998	38	2.992	34	85.998	94	25.998	28	60	60	48	49	107.021	115	57.994	62	215.94	230	52	54	82	83	20	20	278.96	329	75.88	89	259.34	361	154.67	163	197	238	263.11	277	225.7	255	242.22	305
chr1	203898287	203898788	0.0	0.0	chr1	183873347	183873848	181.006	189	1	59	249.991	279	171.002	227	167.988	174	331.956	396	276.008	336	286.951	346	388.976	449	81	95	170.983	219	156.028	186	446.06	582	221.98	229	590.6	632	226.12	230	291.95	312	442.52	653	505.15	543	374.13	502
chr1	48159309	48159810	0.0	0.0	chr1	63634999	63635500	80.998	85	3.995	36	119.025	126	52.988	71	69.983	77	129.968	146	86.024	94	88.974	100	154.05	164	30	38	103.993	110	86.992	88	208.89	231	91.12	96	188.93	199	89.98	102	106	118	178.91	203	159.23	166	102.19	136
chr1	63634999	63635500	0.0	0.0	chr1	220001153	220001654	89.999	92	8.008	63	192.05	201	82.008	85	107.999	111	137.991	144	203.982	208	182.021	190	361.017	392	50	55	168.029	173	82.998	85	418.8	463	119.05	157	383.47	428	154.93	167	251.75	274	331.16	418	374.43	409	425.51	508
chr1	186917258	186917759	0.0	0.0	chr1	85582724	85583225	4107.674	4308	20.919	2871	3035.92	3201	3997.954	4351	3062.957	3248	7132.169	7502	2979.263	3137	4102.117	4357	4348.605	4583	760	1023	4075.074	4248	5086.042	5216	4486.75	4763	1202.26	1285	5311.01	5654	1101.54	2152	1999.19	2147	5193.62	5611	2832.54	3082	2586.41	2792
chr1	85582724	85583225	0.0	0.0	chr1	6604500	6605001	460.977	481	279.011	413	654.996	709	547.038	571	572.97	612	815.018	831	656.04	681	699.038	724	1289.012	1367	217	254	788.023	810	511.014	527	1347.83	1484	439.72	487	1239.54	1354	684	783	712	746	1346.44	1420	767.92	1009	1021.16	1288
chr1	205598820	205599321	0.0	0.0	chr1	85582573	85583074	3920.647	4085	24.924	2989	2869.01	3060	3707.949	3996	2936.945	3118	6735.211	7079	2864.246	3017	3894.071	4158	4149.549	4353	706	982	3913.094	4090	4784.997	4949	4273.57	4642	1141.11	1275	4921.52	5407	1023.42	2098	1877.98	2054	4979.94	5435	2548.78	2901	2328.95	2608
chr1	12501441	12501942	0.0	0.0	chr1	12501441	12501942	648.039	677	18.983	148	598.029	634	995.989	1062	452.026	520	1262.944	1311	403.019	438	599.008	625	674.935	703	258	286	488.014	501	808.981	841	757.96	841	212.04	228	821.19	1000	396.1	520	374.75	405	989.95	1068	495.97	569	552.57	647
chr1	6604500	6605001	0.0	0.0	chr1	85338972	85339473	158.001	165	14	34	239.969	269	92.999	108	121.009	134	233.024	256	274.023	292	206.992	223	576.098	604	59	78	248.01	258	147.004	153	841.42	1107	189.46	303	631.51	881	319.43	422	288.75	492	741.52	845	452.95	743	964.94	1195
chr1	85582573	85583074	0.0	0.0	chr1	85582645	85583146	3870.662	4037	20.919	2871	2871.934	3016	3677.974	4003	2895.941	3062	6663.219	7018	2844.282	2988	3866.096	4110	4172.607	4354	725	975	3846.043	4007	4769.107	4895	4307.61	4548	1147.14	1212	5023.78	5344	1059.55	2047	1901.1	2043	4946.46	5310	2647.58	2872	2414.41	2601
chr1	85582645	85583146	0.0	0.0	chr1	41045529	41046030	450.979	469	25.007	231	373.976	391	327.972	381	292.049	311	586.095	611	278.054	287	408.95	426	478.941	508	109	146	378.933	392	387.013	403	301.49	486	136.03	160	390.53	694	80.85	238	111.05	296	772.47	837	192.83	419	176.3	370
chr1	41045529	41046030	0.0	0.0	chr1	244447497	244447998	133	139	0	4	188.004	216	106.999	108	103.992	105	196.987	206	172.992	177	95.006	100	236.994	263	40	57	107.007	115	112.974	116	641.82	667	224.36	285	600.11	642	280.06	303	391.89	405	738.36	773	449.22	518	485.4	543
chr1	244447497	244447998	0.0	0.0	chr1	186917258	186917759	1156.062	1196	3.968	224	1172.14	1234	782.018	852	878.012	928	2068.462	2284	1392.154	1458	1132.008	1254	1430.018	1514	370	472	1248.012	1358	1113.906	1156	1734.32	2062	572	680	2092.5	2772	947.66	1218	899.66	1008	2514.02	3094	1135.68	1380	1461.12	1694
chr1	85338972	85339473	0.0	0.0	chr1	205598820	205599321	508.038	521	0	233	492.002	514	335.98	378	448.011	463	677.996	705	448.027	461	796.998	818	900.968	944	138	199	659.999	680	470.056	480	342.97	799	207.89	266	619.57	846	361.02	458	300	411	654.47	924	268.85	737	304.38	616
chr1	154644935	154645436	0.0	0.0	chr1	92543038	92543539	464.95	485	471.008	508	50.992	315	293.019	347	476.912	520	514.956	555	371.015	412	512.014	556	285.111	716	151	175	464.953	508	306.974	378	494.93	614	184.94	194	603.11	633	298.99	328	242.19	253	537.52	679	337.27	376	470.82	511
chr1	42373442	42373943	0.0	0.0	chr1	154644935	154645436	144.008	172	49.997	51	92.009	160	94.011	102	103.005	108	195.999	201	182.984	203	208.029	216	201.039	388	65	76	234.02	246	119.989	127	417.39	488	87.99	90	357.7	376	246.05	257	297.9	307	342.03	417	332.82	363	294.14	306
chr1	22494656	22495157	0.0	0.0	chr1	231562292	231562793	0	0	9	9	0	32	7	7	0	0	35	35	1.003	41	37	37	0	55	11	11	26	26	13	13	114.32	166	58.07	59	143.86	151	77.07	84	84	89	84.08	147	107.61	124	175.18	206
