chr1	29336	29337	0.0	29.0	0.0	77.0	0.0	55.0	0.0	46.0	0.99	50.0	0.0	25.0	0.0	30.0	0.0	12.0	0.0	61.0	0.0	12.0	2.0	2.0	0.0	8.0	0.99	21.0	1.0	36.0	0.0	17.0	0.0	4.0	0.0	136.0	0.0	3.0	0.0	6.0
chr1	74952	74953	11.004000000000001	12.0	25.002	27.0	52.01	53.0	30.998	34.0	63.019	68.0	7.0	7.0	69.992	74.0	4.0	5.0	36.004	41.0	36.129999999999995	41.0	22.0004	23.0	25.71	86.0	45.04	46.0	0.0	0.0	25.0	25.0	4.0	4.0	16.003999999999998	17.0	34.15	38.0	19.0	19.0
chr1	125413	125414	7.0	8.0	2.001	3.0	48.023999999999994	72.0	3.0	6.0	5.0	8.0	28.008000000000003	37.0	61.011	94.0	2.0	18.0	13.995999999999999	18.0	120.79	196.0	152.0024	194.0	27.78	213.0	104.13	219.0	75.33000000000001	164.0	67.89	121.0	14.9996	36.0	0.0	0.0	48.96	110.0	36.87000000000001	82.0
chr1	127491	127492	6.0	6.0	2.001	3.0	63.97	73.0	3.0	4.0	12.998	14.0	52.987	58.0	127.977	150.0	2.0	17.0	25.997	27.0	126.08	154.0	104.0014	121.0	100.88	194.0	162.22	200.0	79.79	108.0	85.93	111.0	17.0004	59.0	0.0	0.0	101.80000000000001	135.0	62.97	93.0
chr1	127853	127854	38.993	40.0	25.0	35.0	57.986000000000004	63.0	41.01900000000001	53.0	24.0	24.0	26.991	29.0	78.99600000000002	86.0	11.0	18.0	30.0	32.0	30.06	38.0	6.0002	10.0	26.05	28.0	41.01	50.0	0.0	0.0	37.08	40.0	0.0	10.0	41.003	47.0	12.0	16.0	11.0	17.0
chr1	128750	128751	7.0	8.0	21.99	26.0	44.002	50.0	10.0	13.0	22.0	25.0	37.992	39.0	110.98	117.0	9.0	13.0	44.00100000000001	47.0	57.089999999999996	60.0	37.0	40.0	15.96	66.0	83.28	92.0	0.0	0.0	66.15	72.0	10.0	11.0	7.002000000000001	9.0	10.969999999999999	15.0	27.01	28.0
chr1	129331	129332	49.996	60.0	25.003	34.0	48.977	71.0	54.997	86.0	23.008000000000003	32.0	24.999	26.0	69.012	93.0	5.0	24.0	33.0	44.0	34.95	42.0	65.00280000000001	114.0	29.86	76.0	64.0	90.0	39.76000000000001	60.0	43.31	69.0	35.001000000000005	39.0	70.01899999999999	99.0	15.12	28.0	10.03	19.0
chr1	133432	133433	41.00899999999999	48.0	50.982	71.0	56.013999999999996	63.0	55.023999999999994	74.0	38.002	40.0	35.99599999999999	42.0	83.015	95.0	5.0	15.0	35.001999999999995	38.0	42.0	54.0	7.0	8.0	8.04	24.0	60.25	77.0	344.5900000000001	392.0	47.02	71.0	0.0	6.0	71.997	97.0	28.05	43.0	9.01	23.0
chr1	135296	135297	27.001	28.0	29.008000000000003	30.0	37.0	37.0	60.992	64.0	23.0	23.0	25.0	25.0	27.008000000000003	30.0	14.0	14.0	12.0	12.0	3.0	3.0	2.0	2.0	18.0	18.0	5.0	5.0	31.95	36.0	5.0	6.0	1.0	1.0	64.009	69.0	5.0	5.0	0.0	1.0
chr1	135299	135300	20.995	23.0	27.999	29.0	34.0	36.0	54.983999999999995	60.0	19.0	19.0	28.0	28.0	28.995	30.0	12.0	13.0	12.0	12.0	3.0	3.0	2.0	2.0	13.95	15.0	1.0	1.0	29.0	29.0	3.0	4.0	1.0	1.0	64.992	66.0	5.0	5.0	1.0	1.0
